Z:\Research\GameTheory>g++ stablevoting_fast.cpp -Wall && a.exe
[PROGRESS] perms_done=43346 fails=407322 avg_perm=0.0249s avg_case=0.0018s
[PROGRESS] perms_done=45416 fails=427688 avg_perm=0.0251s avg_case=0.0018s
[PROGRESS] perms_done=48052 fails=449564 avg_perm=0.0250s avg_case=0.0018s
[PROGRESS] perms_done=50000 fails=468738 avg_perm=0.0251s avg_case=0.0018s
[PROGRESS] perms_done=52571 fails=490624 avg_perm=0.0250s avg_case=0.0018s
[PROGRESS] perms_done=54842 fails=512650 avg_perm=0.0251s avg_case=0.0018s
[PROGRESS] perms_done=57436 fails=535740 avg_perm=0.0250s avg_case=0.0018s
[PROGRESS] perms_done=59900 fails=559726 avg_perm=0.0250s avg_case=0.0018s
[PROGRESS] perms_done=62608 fails=584952 avg_perm=0.0248s avg_case=0.0018s
[PROGRESS] perms_done=65078 fails=609220 avg_perm=0.0248s avg_case=0.0018s
[PROGRESS] perms_done=67618 fails=633924 avg_perm=0.0248s avg_case=0.0018s
[PROGRESS] perms_done=70115 fails=658750 avg_perm=0.0247s avg_case=0.0018s
[PROGRESS] perms_done=72485 fails=682450 avg_perm=0.0248s avg_case=0.0018s
[PROGRESS] perms_done=74964 fails=707240 avg_perm=0.0247s avg_case=0.0018s
[PROGRESS] perms_done=77334 fails=730940 avg_perm=0.0248s avg_case=0.0018s
[PROGRESS] perms_done=79850 fails=756100 avg_perm=0.0247s avg_case=0.0018s
[PROGRESS] perms_done=82489 fails=778665 avg_perm=0.0247s avg_case=0.0018s
[PROGRESS] perms_done=84922 fails=801774 avg_perm=0.0247s avg_case=0.0018s
[PROGRESS] perms_done=87386 fails=822848 avg_perm=0.0247s avg_case=0.0018s
[PROGRESS] perms_done=89894 fails=846478 avg_perm=0.0246s avg_case=0.0018s
[PROGRESS] perms_done=92375 fails=868104 avg_perm=0.0246s avg_case=0.0018s
[PROGRESS] perms_done=95002 fails=893050 avg_perm=0.0246s avg_case=0.0018s
[PROGRESS] perms_done=97712 fails=917336 avg_perm=0.0245s avg_case=0.0018s
[PROGRESS] perms_done=100000 fails=939526 avg_perm=0.0245s avg_case=0.0017s
[PROGRESS] perms_done=102681 fails=964626 avg_perm=0.0244s avg_case=0.0017s
[PROGRESS] perms_done=105289 fails=990130 avg_perm=0.0244s avg_case=0.0017s
[PROGRESS] perms_done=107912 fails=1015664 avg_perm=0.0244s avg_case=0.0017s
[PROGRESS] perms_done=110528 fails=1041680 avg_perm=0.0243s avg_case=0.0017s
[PROGRESS] perms_done=112952 fails=1065920 avg_perm=0.0243s avg_case=0.0017s
[PROGRESS] perms_done=115570 fails=1092100 avg_perm=0.0243s avg_case=0.0017s
[PROGRESS] perms_done=118010 fails=1116500 avg_perm=0.0243s avg_case=0.0017s
[PROGRESS] perms_done=120632 fails=1142720 avg_perm=0.0243s avg_case=0.0017s
[PROGRESS] perms_done=123343 fails=1165429 avg_perm=0.0242s avg_case=0.0017s
[PROGRESS] perms_done=125705 fails=1188404 avg_perm=0.0243s avg_case=0.0017s
[PROGRESS] perms_done=128342 fails=1210403 avg_perm=0.0242s avg_case=0.0017s
[PROGRESS] perms_done=130740 fails=1233738 avg_perm=0.0242s avg_case=0.0017s
[PROGRESS] perms_done=133471 fails=1256996 avg_perm=0.0242s avg_case=0.0017s
[PROGRESS] perms_done=135908 fails=1280910 avg_perm=0.0242s avg_case=0.0017s
[PROGRESS] perms_done=138854 fails=1306986 avg_perm=0.0241s avg_case=0.0017s
[PROGRESS] perms_done=141554 fails=1333374 avg_perm=0.0241s avg_case=0.0017s
[PROGRESS] perms_done=144530 fails=1361340 avg_perm=0.0240s avg_case=0.0017s
[PROGRESS] perms_done=147199 fails=1387630 avg_perm=0.0240s avg_case=0.0017s
[PROGRESS] perms_done=150000 fails=1415200 avg_perm=0.0239s avg_case=0.0017s
[PROGRESS] perms_done=152666 fails=1441860 avg_perm=0.0239s avg_case=0.0017s
[PROGRESS] perms_done=155570 fails=1470900 avg_perm=0.0238s avg_case=0.0017s
[PROGRESS] perms_done=158194 fails=1497140 avg_perm=0.0238s avg_case=0.0017s
[PROGRESS] perms_done=161287 fails=1528030 avg_perm=0.0237s avg_case=0.0017s
[PROGRESS] perms_done=164054 fails=1550928 avg_perm=0.0237s avg_case=0.0017s
[PROGRESS] perms_done=166526 fails=1574876 avg_perm=0.0237s avg_case=0.0017s
[PROGRESS] perms_done=169344 fails=1598686 avg_perm=0.0237s avg_case=0.0017s
[PROGRESS] perms_done=171928 fails=1623231 avg_perm=0.0237s avg_case=0.0017s
[PROGRESS] perms_done=174763 fails=1648260 avg_perm=0.0236s avg_case=0.0017s
[PROGRESS] perms_done=177464 fails=1673682 avg_perm=0.0236s avg_case=0.0017s
[PROGRESS] perms_done=180390 fails=1701026 avg_perm=0.0235s avg_case=0.0017s
[PROGRESS] perms_done=183386 fails=1729372 avg_perm=0.0235s avg_case=0.0017s
[PROGRESS] perms_done=186786 fails=1762680 avg_perm=0.0234s avg_case=0.0017s
[PROGRESS] perms_done=190081 fails=1794986 avg_perm=0.0233s avg_case=0.0017s
[PROGRESS] perms_done=193255 fails=1826726 avg_perm=0.0232s avg_case=0.0017s
[PROGRESS] perms_done=196888 fails=1863056 avg_perm=0.0231s avg_case=0.0016s
[PROGRESS] perms_done=200000 fails=1894176 avg_perm=0.0230s avg_case=0.0016s
[PROGRESS] perms_done=203216 fails=1922971 avg_perm=0.0230s avg_case=0.0016s
[PROGRESS] perms_done=206366 fails=1952934 avg_perm=0.0229s avg_case=0.0016s
[PROGRESS] perms_done=209105 fails=1975986 avg_perm=0.0229s avg_case=0.0016s
[PROGRESS] perms_done=212368 fails=2006703 avg_perm=0.0228s avg_case=0.0016s
[PROGRESS] perms_done=215356 fails=2033574 avg_perm=0.0228s avg_case=0.0016s
[PROGRESS] perms_done=218440 fails=2062022 avg_perm=0.0227s avg_case=0.0016s
[PROGRESS] perms_done=221889 fails=2095372 avg_perm=0.0227s avg_case=0.0016s
[PROGRESS] perms_done=225122 fails=2125708 avg_perm=0.0226s avg_case=0.0016s
[PROGRESS] perms_done=229081 fails=2164612 avg_perm=0.0225s avg_case=0.0016s
[PROGRESS] perms_done=233294 fails=2206628 avg_perm=0.0223s avg_case=0.0016s
[PROGRESS] perms_done=237617 fails=2249858 avg_perm=0.0222s avg_case=0.0016s
[PROGRESS] perms_done=241972 fails=2293216 avg_perm=0.0220s avg_case=0.0016s
[PROGRESS] perms_done=244808 fails=2317150 avg_perm=0.0220s avg_case=0.0016s
[PROGRESS] perms_done=247804 fails=2345096 avg_perm=0.0220s avg_case=0.0016s
[PROGRESS] perms_done=250000 fails=2364242 avg_perm=0.0220s avg_case=0.0016s
[PROGRESS] perms_done=253118 fails=2393200 avg_perm=0.0219s avg_case=0.0016s
[PROGRESS] perms_done=256443 fails=2424300 avg_perm=0.0219s avg_case=0.0016s
[PROGRESS] perms_done=259486 fails=2451710 avg_perm=0.0219s avg_case=0.0016s
[PROGRESS] perms_done=263087 fails=2486510 avg_perm=0.0218s avg_case=0.0016s
[PROGRESS] perms_done=266804 fails=2522444 avg_perm=0.0217s avg_case=0.0016s
[PROGRESS] perms_done=270842 fails=2562024 avg_perm=0.0216s avg_case=0.0015s
[PROGRESS] perms_done=275416 fails=2607764 avg_perm=0.0215s avg_case=0.0015s
[PROGRESS] perms_done=280211 fails=2655714 avg_perm=0.0213s avg_case=0.0015s
[PROGRESS] perms_done=283616 fails=2686901 avg_perm=0.0213s avg_case=0.0015s
[PROGRESS] perms_done=286762 fails=2716490 avg_perm=0.0212s avg_case=0.0015s
[PROGRESS] perms_done=289322 fails=2738352 avg_perm=0.0213s avg_case=0.0015s
[PROGRESS] perms_done=292484 fails=2768592 avg_perm=0.0212s avg_case=0.0015s
[PROGRESS] perms_done=295237 fails=2792356 avg_perm=0.0212s avg_case=0.0015s
[PROGRESS] perms_done=298382 fails=2822262 avg_perm=0.0212s avg_case=0.0015s
[PROGRESS] perms_done=300000 fails=2836818 avg_perm=0.0212s avg_case=0.0015s
[PROGRESS] perms_done=303428 fails=2869934 avg_perm=0.0212s avg_case=0.0015s
[PROGRESS] perms_done=307088 fails=2905322 avg_perm=0.0211s avg_case=0.0015s
[PROGRESS] perms_done=311169 fails=2945332 avg_perm=0.0210s avg_case=0.0015s
[PROGRESS] perms_done=315561 fails=2989252 avg_perm=0.0209s avg_case=0.0015s
[PROGRESS] perms_done=320126 fails=3034902 avg_perm=0.0208s avg_case=0.0015s
[PROGRESS] perms_done=323536 fails=3066916 avg_perm=0.0208s avg_case=0.0015s
[PROGRESS] perms_done=326287 fails=3091778 avg_perm=0.0208s avg_case=0.0015s
[PROGRESS] perms_done=328723 fails=3113767 avg_perm=0.0208s avg_case=0.0015s
[PROGRESS] perms_done=331402 fails=3138194 avg_perm=0.0208s avg_case=0.0015s
[PROGRESS] perms_done=334012 fails=3161712 avg_perm=0.0209s avg_case=0.0015s
[PROGRESS] perms_done=336667 fails=3186598 avg_perm=0.0209s avg_case=0.0015s
[PROGRESS] perms_done=339389 fails=3211516 avg_perm=0.0209s avg_case=0.0015s
[PROGRESS] perms_done=342533 fails=3241970 avg_perm=0.0209s avg_case=0.0015s
[PROGRESS] perms_done=345602 fails=3270500 avg_perm=0.0208s avg_case=0.0015s
[PROGRESS] perms_done=349215 fails=3306166 avg_perm=0.0208s avg_case=0.0015s
[PROGRESS] perms_done=350000 fails=3313800 avg_perm=0.0208s avg_case=0.0015s
[PROGRESS] perms_done=354121 fails=3354890 avg_perm=0.0207s avg_case=0.0015s
[PROGRESS] perms_done=358587 fails=3399550 avg_perm=0.0206s avg_case=0.0015s
[PROGRESS] perms_done=363017 fails=3443490 avg_perm=0.0205s avg_case=0.0015s
[PROGRESS] perms_done=365782 fails=3466598 avg_perm=0.0206s avg_case=0.0015s
[PROGRESS] perms_done=367950 fails=3487978 avg_perm=0.0206s avg_case=0.0015s
[PROGRESS] perms_done=370636 fails=3510272 avg_perm=0.0206s avg_case=0.0015s
[PROGRESS] perms_done=372866 fails=3532278 avg_perm=0.0206s avg_case=0.0015s
[PROGRESS] perms_done=375560 fails=3555058 avg_perm=0.0207s avg_case=0.0015s
[PROGRESS] perms_done=377842 fails=3577530 avg_perm=0.0207s avg_case=0.0015s
[PROGRESS] perms_done=380674 fails=3602514 avg_perm=0.0207s avg_case=0.0015s
[PROGRESS] perms_done=382969 fails=3625296 avg_perm=0.0207s avg_case=0.0015s
[PROGRESS] perms_done=385762 fails=3651012 avg_perm=0.0207s avg_case=0.0015s
[PROGRESS] perms_done=388103 fails=3674330 avg_perm=0.0208s avg_case=0.0015s
[PROGRESS] perms_done=390674 fails=3699220 avg_perm=0.0208s avg_case=0.0015s
[PROGRESS] perms_done=393129 fails=3723770 avg_perm=0.0208s avg_case=0.0015s
[PROGRESS] perms_done=395423 fails=3746710 avg_perm=0.0208s avg_case=0.0015s
[PROGRESS] perms_done=397888 fails=3771360 avg_perm=0.0209s avg_case=0.0015s
[PROGRESS] perms_done=400000 fails=3792480 avg_perm=0.0209s avg_case=0.0015s
[PROGRESS] perms_done=402442 fails=3816900 avg_perm=0.0209s avg_case=0.0015s
[PROGRESS] perms_done=405122 fails=3839659 avg_perm=0.0209s avg_case=0.0015s
[PROGRESS] perms_done=407525 fails=3862484 avg_perm=0.0209s avg_case=0.0015s
[PROGRESS] perms_done=409957 fails=3883118 avg_perm=0.0210s avg_case=0.0015s
[PROGRESS] perms_done=412455 fails=3906684 avg_perm=0.0210s avg_case=0.0015s
[PROGRESS] perms_done=414916 fails=3928040 avg_perm=0.0210s avg_case=0.0015s
[PROGRESS] perms_done=417484 fails=3952396 avg_perm=0.0210s avg_case=0.0015s
[PROGRESS] perms_done=420046 fails=3975456 avg_perm=0.0210s avg_case=0.0015s
[PROGRESS] perms_done=422650 fails=4000520 avg_perm=0.0210s avg_case=0.0015s
[PROGRESS] perms_done=425294 fails=4025226 avg_perm=0.0211s avg_case=0.0015s
[PROGRESS] perms_done=427810 fails=4049834 avg_perm=0.0211s avg_case=0.0015s
[PROGRESS] perms_done=430322 fails=4074258 avg_perm=0.0211s avg_case=0.0015s
[PROGRESS] perms_done=432806 fails=4098954 avg_perm=0.0211s avg_case=0.0015s
[PROGRESS] perms_done=435149 fails=4122384 avg_perm=0.0211s avg_case=0.0015s
[PROGRESS] perms_done=437654 fails=4147434 avg_perm=0.0211s avg_case=0.0015s
[PROGRESS] perms_done=440005 fails=4170944 avg_perm=0.0212s avg_case=0.0015s
[PROGRESS] perms_done=442484 fails=4195734 avg_perm=0.0212s avg_case=0.0015s
[PROGRESS] perms_done=445100 fails=4218331 avg_perm=0.0212s avg_case=0.0015s
[PROGRESS] perms_done=447610 fails=4241748 avg_perm=0.0212s avg_case=0.0015s
[PROGRESS] perms_done=450000 fails=4262481 avg_perm=0.0212s avg_case=0.0015s
[PROGRESS] perms_done=452455 fails=4285098 avg_perm=0.0212s avg_case=0.0015s
[PROGRESS] perms_done=454984 fails=4307542 avg_perm=0.0213s avg_case=0.0015s
[PROGRESS] perms_done=457572 fails=4331690 avg_perm=0.0213s avg_case=0.0015s
[PROGRESS] perms_done=460212 fails=4355774 avg_perm=0.0213s avg_case=0.0015s
[PROGRESS] perms_done=462872 fails=4381154 avg_perm=0.0213s avg_case=0.0015s
[PROGRESS] perms_done=465548 fails=4406204 avg_perm=0.0213s avg_case=0.0015s
[PROGRESS] perms_done=468151 fails=4431658 avg_perm=0.0213s avg_case=0.0015s
[PROGRESS] perms_done=470770 fails=4457152 avg_perm=0.0213s avg_case=0.0015s
[PROGRESS] perms_done=473354 fails=4482848 avg_perm=0.0213s avg_case=0.0015s
[PROGRESS] perms_done=475804 fails=4507348 avg_perm=0.0213s avg_case=0.0015s
[PROGRESS] perms_done=478378 fails=4533088 avg_perm=0.0213s avg_case=0.0015s
[PROGRESS] perms_done=480854 fails=4557848 avg_perm=0.0214s avg_case=0.0015s
[PROGRESS] perms_done=483442 fails=4583728 avg_perm=0.0214s avg_case=0.0015s
[PROGRESS] perms_done=486192 fails=4606617 avg_perm=0.0214s avg_case=0.0015s
[PROGRESS] perms_done=488570 fails=4629762 avg_perm=0.0214s avg_case=0.0015s
[PROGRESS] perms_done=491210 fails=4651707 avg_perm=0.0214s avg_case=0.0015s
[PROGRESS] perms_done=493615 fails=4675112 avg_perm=0.0214s avg_case=0.0015s
[PROGRESS] perms_done=496348 fails=4698332 avg_perm=0.0214s avg_case=0.0015s
[PROGRESS] perms_done=498800 fails=4722384 avg_perm=0.0214s avg_case=0.0015s
[PROGRESS] perms_done=500000 fails=4732764 avg_perm=0.0214s avg_case=0.0015s
[PROGRESS] perms_done=502927 fails=4760118 avg_perm=0.0214s avg_case=0.0015s
[PROGRESS] perms_done=505722 fails=4786474 avg_perm=0.0214s avg_case=0.0015s
[PROGRESS] perms_done=508617 fails=4814732 avg_perm=0.0214s avg_case=0.0015s
[PROGRESS] perms_done=511339 fails=4841220 avg_perm=0.0214s avg_case=0.0015s
[PROGRESS] perms_done=514249 fails=4870212 avg_perm=0.0214s avg_case=0.0015s
[PROGRESS] perms_done=516920 fails=4896922 avg_perm=0.0214s avg_case=0.0015s
[PROGRESS] perms_done=519794 fails=4925662 avg_perm=0.0214s avg_case=0.0015s
[PROGRESS] perms_done=522518 fails=4952902 avg_perm=0.0214s avg_case=0.0015s
[PROGRESS] perms_done=525400 fails=4978779 avg_perm=0.0214s avg_case=0.0015s
[PROGRESS] perms_done=528143 fails=5003906 avg_perm=0.0214s avg_case=0.0015s
[PROGRESS] perms_done=530765 fails=5026737 avg_perm=0.0214s avg_case=0.0015s
[PROGRESS] perms_done=533531 fails=5052686 avg_perm=0.0214s avg_case=0.0015s
[PROGRESS] perms_done=536240 fails=5076074 avg_perm=0.0214s avg_case=0.0015s
[PROGRESS] perms_done=538945 fails=5102248 avg_perm=0.0214s avg_case=0.0015s
[PROGRESS] perms_done=541934 fails=5128794 avg_perm=0.0214s avg_case=0.0015s
[PROGRESS] perms_done=544622 fails=5155122 avg_perm=0.0214s avg_case=0.0015s
[PROGRESS] perms_done=548008 fails=5187188 avg_perm=0.0214s avg_case=0.0015s
[PROGRESS] perms_done=550000 fails=5206884 avg_perm=0.0214s avg_case=0.0015s
[PROGRESS] perms_done=553150 fails=5237812 avg_perm=0.0214s avg_case=0.0015s
[PROGRESS] perms_done=556456 fails=5270872 avg_perm=0.0214s avg_case=0.0015s
[PROGRESS] perms_done=560102 fails=5307332 avg_perm=0.0213s avg_case=0.0015s
[PROGRESS] perms_done=563300 fails=5339312 avg_perm=0.0213s avg_case=0.0015s
[PROGRESS] perms_done=566552 fails=5367617 avg_perm=0.0213s avg_case=0.0015s
[PROGRESS] perms_done=569674 fails=5397538 avg_perm=0.0213s avg_case=0.0015s
[PROGRESS] perms_done=572479 fails=5421164 avg_perm=0.0213s avg_case=0.0015s
[PROGRESS] perms_done=575544 fails=5449696 avg_perm=0.0213s avg_case=0.0015s
[PROGRESS] perms_done=578606 fails=5477856 avg_perm=0.0213s avg_case=0.0015s
[PROGRESS] perms_done=581825 fails=5507074 avg_perm=0.0213s avg_case=0.0015s
[PROGRESS] perms_done=585314 fails=5540944 avg_perm=0.0212s avg_case=0.0015s
[PROGRESS] perms_done=588607 fails=5572308 avg_perm=0.0212s avg_case=0.0015s
[PROGRESS] perms_done=592632 fails=5611758 avg_perm=0.0212s avg_case=0.0015s
[PROGRESS] perms_done=596883 fails=5654268 avg_perm=0.0211s avg_case=0.0015s
[PROGRESS] perms_done=600000 fails=5685438 avg_perm=0.0211s avg_case=0.0015s
[PROGRESS] perms_done=604321 fails=5728648 avg_perm=0.0210s avg_case=0.0015s
[PROGRESS] perms_done=607230 fails=5753294 avg_perm=0.0210s avg_case=0.0015s
[PROGRESS] perms_done=610502 fails=5783852 avg_perm=0.0210s avg_case=0.0015s
[PROGRESS] perms_done=613494 fails=5810552 avg_perm=0.0210s avg_case=0.0015s
[PROGRESS] perms_done=616458 fails=5837218 avg_perm=0.0210s avg_case=0.0015s
[PROGRESS] perms_done=619976 fails=5870850 avg_perm=0.0210s avg_case=0.0015s
[PROGRESS] perms_done=623086 fails=5898786 avg_perm=0.0210s avg_case=0.0015s
[PROGRESS] perms_done=626704 fails=5933468 avg_perm=0.0210s avg_case=0.0015s
[PROGRESS] perms_done=630520 fails=5970744 avg_perm=0.0209s avg_case=0.0015s
[PROGRESS] perms_done=634676 fails=6011728 avg_perm=0.0209s avg_case=0.0015s
[PROGRESS] perms_done=639458 fails=6059548 avg_perm=0.0208s avg_case=0.0015s
[PROGRESS] perms_done=644291 fails=6107878 avg_perm=0.0208s avg_case=0.0015s
[PROGRESS] perms_done=647185 fails=6132801 avg_perm=0.0208s avg_case=0.0015s
[PROGRESS] perms_done=650000 fails=6160034 avg_perm=0.0208s avg_case=0.0015s
[PROGRESS] perms_done=652469 fails=6180557 avg_perm=0.0208s avg_case=0.0015s
[PROGRESS] perms_done=655750 fails=6211607 avg_perm=0.0208s avg_case=0.0015s
[PROGRESS] perms_done=658475 fails=6235650 avg_perm=0.0208s avg_case=0.0015s
[PROGRESS] perms_done=661754 fails=6266358 avg_perm=0.0207s avg_case=0.0015s
[PROGRESS] perms_done=665242 fails=6300000 avg_perm=0.0207s avg_case=0.0015s
[PROGRESS] perms_done=668547 fails=6330890 avg_perm=0.0207s avg_case=0.0015s
[PROGRESS] perms_done=672600 fails=6370740 avg_perm=0.0207s avg_case=0.0015s
[PROGRESS] perms_done=676923 fails=6413850 avg_perm=0.0206s avg_case=0.0015s
[PROGRESS] perms_done=681416 fails=6458780 avg_perm=0.0206s avg_case=0.0015s
[PROGRESS] perms_done=685797 fails=6501849 avg_perm=0.0205s avg_case=0.0015s
[PROGRESS] perms_done=688323 fails=6523074 avg_perm=0.0206s avg_case=0.0015s
[PROGRESS] perms_done=691079 fails=6549129 avg_perm=0.0206s avg_case=0.0015s
[PROGRESS] perms_done=693469 fails=6569690 avg_perm=0.0206s avg_case=0.0015s
[PROGRESS] perms_done=696305 fails=6596321 avg_perm=0.0206s avg_case=0.0015s
[PROGRESS] perms_done=698767 fails=6618240 avg_perm=0.0206s avg_case=0.0015s
[PROGRESS] perms_done=700000 fails=6630552 avg_perm=0.0206s avg_case=0.0015s
[PROGRESS] perms_done=702726 fails=6654960 avg_perm=0.0206s avg_case=0.0015s
[PROGRESS] perms_done=705841 fails=6685396 avg_perm=0.0206s avg_case=0.0015s
[PROGRESS] perms_done=708890 fails=6713972 avg_perm=0.0206s avg_case=0.0015s
[PROGRESS] perms_done=712801 fails=6752420 avg_perm=0.0206s avg_case=0.0015s
[PROGRESS] perms_done=716689 fails=6791162 avg_perm=0.0205s avg_case=0.0015s
[PROGRESS] perms_done=721441 fails=6838682 avg_perm=0.0205s avg_case=0.0015s
[PROGRESS] perms_done=725890 fails=6882846 avg_perm=0.0204s avg_case=0.0015s
[PROGRESS] perms_done=728665 fails=6905816 avg_perm=0.0204s avg_case=0.0015s
[PROGRESS] perms_done=730838 fails=6927230 avg_perm=0.0205s avg_case=0.0015s
[PROGRESS] perms_done=733570 fails=6949869 avg_perm=0.0205s avg_case=0.0015s
[PROGRESS] perms_done=735770 fails=6971626 avg_perm=0.0205s avg_case=0.0015s
[PROGRESS] perms_done=738496 fails=6994614 avg_perm=0.0205s avg_case=0.0015s
[PROGRESS] perms_done=740776 fails=7017108 avg_perm=0.0205s avg_case=0.0015s
[PROGRESS] perms_done=743596 fails=7041916 avg_perm=0.0205s avg_case=0.0015s
[PROGRESS] perms_done=745922 fails=7065020 avg_perm=0.0205s avg_case=0.0015s
[PROGRESS] perms_done=748732 fails=7090858 avg_perm=0.0205s avg_case=0.0015s
[PROGRESS] perms_done=750000 fails=7103526 avg_perm=0.0205s avg_case=0.0015s
[PROGRESS] perms_done=752411 fails=7127144 avg_perm=0.0206s avg_case=0.0015s
[PROGRESS] perms_done=754888 fails=7151566 avg_perm=0.0206s avg_case=0.0015s
[PROGRESS] perms_done=757234 fails=7175026 avg_perm=0.0206s avg_case=0.0015s
[PROGRESS] perms_done=759642 fails=7199106 avg_perm=0.0206s avg_case=0.0015s
[PROGRESS] perms_done=762014 fails=7222826 avg_perm=0.0206s avg_case=0.0015s
[PROGRESS] perms_done=764426 fails=7246946 avg_perm=0.0206s avg_case=0.0015s
[PROGRESS] perms_done=766929 fails=7269874 avg_perm=0.0206s avg_case=0.0015s
[PROGRESS] perms_done=769600 fails=7293440 avg_perm=0.0206s avg_case=0.0015s
[PROGRESS] perms_done=771876 fails=7314250 avg_perm=0.0207s avg_case=0.0015s
[PROGRESS] perms_done=774512 fails=7337460 avg_perm=0.0207s avg_case=0.0015s
[PROGRESS] perms_done=776892 fails=7359707 avg_perm=0.0207s avg_case=0.0015s
[PROGRESS] perms_done=779528 fails=7383042 avg_perm=0.0207s avg_case=0.0015s
[PROGRESS] perms_done=781942 fails=7406014 avg_perm=0.0207s avg_case=0.0015s
[PROGRESS] perms_done=784688 fails=7431106 avg_perm=0.0207s avg_case=0.0015s
[PROGRESS] perms_done=787088 fails=7454312 avg_perm=0.0207s avg_case=0.0015s
[PROGRESS] perms_done=789845 fails=7480390 avg_perm=0.0207s avg_case=0.0015s
[PROGRESS] perms_done=792149 fails=7503114 avg_perm=0.0207s avg_case=0.0015s
[PROGRESS] perms_done=794774 fails=7528840 avg_perm=0.0207s avg_case=0.0015s
[PROGRESS] perms_done=797153 fails=7552630 avg_perm=0.0208s avg_case=0.0015s
[PROGRESS] perms_done=799583 fails=7576930 avg_perm=0.0208s avg_case=0.0015s
[PROGRESS] perms_done=800000 fails=7581100 avg_perm=0.0208s avg_case=0.0015s
[PROGRESS] perms_done=802376 fails=7604860 avg_perm=0.0208s avg_case=0.0015s
[PROGRESS] perms_done=804854 fails=7629640 avg_perm=0.0208s avg_case=0.0015s
[PROGRESS] perms_done=807368 fails=7652468 avg_perm=0.0208s avg_case=0.0015s
[PROGRESS] perms_done=810030 fails=7676194 avg_perm=0.0208s avg_case=0.0015s
[PROGRESS] perms_done=812304 fails=7696792 avg_perm=0.0208s avg_case=0.0015s
[PROGRESS] perms_done=815043 fails=7721148 avg_perm=0.0208s avg_case=0.0015s
[PROGRESS] perms_done=817340 fails=7742304 avg_perm=0.0208s avg_case=0.0015s
[PROGRESS] perms_done=820209 fails=7768190 avg_perm=0.0208s avg_case=0.0015s
[PROGRESS] perms_done=822878 fails=7792832 avg_perm=0.0208s avg_case=0.0015s
[PROGRESS] perms_done=825632 fails=7818852 avg_perm=0.0208s avg_case=0.0015s
[PROGRESS] perms_done=828362 fails=7844502 avg_perm=0.0209s avg_case=0.0015s
[PROGRESS] perms_done=831106 fails=7871306 avg_perm=0.0209s avg_case=0.0015s
[PROGRESS] perms_done=833768 fails=7897218 avg_perm=0.0209s avg_case=0.0015s
[PROGRESS] perms_done=836462 fails=7924026 avg_perm=0.0209s avg_case=0.0015s
[PROGRESS] perms_done=838921 fails=7948616 avg_perm=0.0209s avg_case=0.0015s
[PROGRESS] perms_done=841640 fails=7975806 avg_perm=0.0209s avg_case=0.0015s
[PROGRESS] perms_done=844092 fails=8000326 avg_perm=0.0209s avg_case=0.0015s
[PROGRESS] perms_done=846790 fails=8027060 avg_perm=0.0209s avg_case=0.0015s
[PROGRESS] perms_done=849621 fails=8050546 avg_perm=0.0209s avg_case=0.0015s
